,Unnamed: 0,mar_diminutif,tunnel,prdp_code,prod_groupe,ref_prix,freq_annuelle,ajust_freq_suppl,frq_totale,nb_equipe,cout_ht,cout_total,equipements,nomb_equipe
30,30,PAU/TSE,Saint-Cloud,RTSPPO010,Maintenance préventive de l'ensemble des PAU du tunnel,RAU-PO10,4.0,0.0,4.0,1.0,992.03,3968.12,,1.0
31,31,PAU/TSE,Saint-Cloud,RTSPTO010,Maintenance préventive de l'ensemble des TSE du tunnel,TSE-PO10,4.0,0.0,4.0,1.0,584.79,2339.16,,1.0
32,32,Onduleur,Saint-Cloud,ONDPOA001,Maintenance préventive d'un onduleur,ONP001,1.0,0.0,1.0,0.0,304.01,0.0,Maintenance préventive Onduleur ≤ 60 kVA,"=SUMIFS('Equipements par tunnel'!C:C, 'Equipements par tunnel'!A:A, ""Saint-Cloud"", 'Equipements par tunnel'!B:B, ""Maintenance préventive Onduleur ≤ 60 kVA"")"
33,33,Onduleur,Saint-Cloud,ONDPOB002,Maintenance préventive d'un onduleur,ONP002,1.0,0.0,1.0,3.0,337.95,1013.85,Maintenance préventive Onduleur 61 kVA --> 160 kVA,"=SUMIFS('Equipements par tunnel'!C:C, 'Equipements par tunnel'!A:A, ""Saint-Cloud"", 'Equipements par tunnel'!B:B, ""Maintenance préventive Onduleur 61 kVA --> 160 kVA"")"
34,34,Onduleur,Saint-Cloud,ONDPOC003,Maintenance préventive d'un onduleur,ONP003,1.0,0.0,1.0,0.0,371.88,0.0,Maintenance préventive Onduleur > 160 kVA,"=SUMIFS('Equipements par tunnel'!C:C, 'Equipements par tunnel'!A:A, ""Saint-Cloud"", 'Equipements par tunnel'!B:B, ""Maintenance préventive Onduleur > 160 kVA"")"
35,35,Onduleur,Saint-Cloud,ONDMPA004,Maintenance préventive d'un atelier d'énergie,ONP004,1.0,0.0,1.0,0.0,185.94,0.0,,0.0
36,36,Onduleur,Saint-Cloud,ONDPLV005,Plus-value pour dépollution,ONP005,0.5,0.0,0.5,0.0,414.3,0.0,,0.0
37,37,Détection,Saint-Cloud,DETPCA003,"Préventif d'un tube des capteurs atmosphériques (opacimètres, CO, NO, NO², smokecheck, anémomètres)",DEP003,4.0,0.0,4.0,2.0,3334.8,26678.4,,2.0
38,38,Détection,Saint-Cloud,DETPLV027,Préventif luminancemètre,DEP027,1.0,0.0,1.0,2.0,24.15,48.3,LUMANDAR+LUMINANCEMETRE,"=SUMIFS('Equipements par tunnel'!C:C, 'Equipements par tunnel'!A:A, ""Saint-Cloud"", 'Equipements par tunnel'!B:B, ""LUMANDAR+LUMINANCEMETRE"")"
39,39,Détection,Saint-Cloud,DETPDI100,Préventif détection incendie,DEP100,1.0,0.0,1.0,1.0,347.55,347.55,,1.0
40,40,Détection,Saint-Cloud,DETPXA200,Préventif extincteur,DEP200,1.0,0.0,1.0,40.0,33.6,1344.0,Maintenance Préventive Extincteur Poudre 6 kg,"=SUMIFS('Equipements par tunnel'!C:C, 'Equipements par tunnel'!A:A, ""Saint-Cloud"", 'Equipements par tunnel'!B:B, ""Maintenance Préventive Extincteur Poudre 6 kg"")"
41,41,Détection,Saint-Cloud,DETPXB201,Préventif extincteur,DEP201,1.0,0.0,1.0,8.0,21.0,168.0,Maintenance Préventive Extincteur Poudre 9 kg,"=SUMIFS('Equipements par tunnel'!C:C, 'Equipements par tunnel'!A:A, ""Saint-Cloud"", 'Equipements par tunnel'!B:B, ""Maintenance Préventive Extincteur Poudre 9 kg"")"
42,42,Détection,Saint-Cloud,DETPXC202,Préventif extincteur,DEP202,1.0,0.0,1.0,0.0,36.75,0.0,Maintenance Préventive Extincteur Poudre 50 kg,"=SUMIFS('Equipements par tunnel'!C:C, 'Equipements par tunnel'!A:A, ""Saint-Cloud"", 'Equipements par tunnel'!B:B, ""Maintenance Préventive Extincteur Poudre 50 kg"")"
43,43,Détection,Saint-Cloud,DETPXD203,Préventif extincteur,DEP203,1.0,0.0,1.0,0.0,15.75,0.0,Maintenance Préventive Extincteur Eau 6 L,"=SUMIFS('Equipements par tunnel'!C:C, 'Equipements par tunnel'!A:A, ""Saint-Cloud"", 'Equipements par tunnel'!B:B, ""Maintenance Préventive Extincteur Eau 6 L"")"
44,44,Détection,Saint-Cloud,DETPXE204,Préventif extincteur,DEP204,1.0,0.0,1.0,0.0,23.1,0.0,Maintenance Préventive Extincteur Eau 9 L,"=SUMIFS('Equipements par tunnel'!C:C, 'Equipements par tunnel'!A:A, ""Saint-Cloud"", 'Equipements par tunnel'!B:B, ""Maintenance Préventive Extincteur Eau 9 L"")"
45,45,Détection,Saint-Cloud,DETPXF204,Préventif extincteur,DEP205,1.0,0.0,1.0,1.0,26.25,26.25,Maintenance Préventive Extincteur CO2 2 kg,"=SUMIFS('Equipements par tunnel'!C:C, 'Equipements par tunnel'!A:A, ""Saint-Cloud"", 'Equipements par tunnel'!B:B, ""Maintenance Préventive Extincteur CO2 2 kg"")"
46,46,Détection,Saint-Cloud,DETPXG206,Préventif extincteur,DEP206,1.0,0.0,1.0,20.0,15.75,315.0,Maintenance Préventive Extincteur CO2 5 kg,"=SUMIFS('Equipements par tunnel'!C:C, 'Equipements par tunnel'!A:A, ""Saint-Cloud"", 'Equipements par tunnel'!B:B, ""Maintenance Préventive Extincteur CO2 5 kg"")"
47,47,Ventilation,Saint-Cloud,VENPEB202,Préventif des équipements de ventilation,VPB202,1.0,0.0,1.0,1.0,9393.31,9393.31,,1.0
48,48,Ventilation,Saint-Cloud,VENPQA300,Maintenance préventive des équipements spécifiques,VPT300,1.0,0.0,1.0,23.0,78.85,1813.55,SURPRESSEUR ET VENTILATEUR LOCAL,"=SUMIFS('Equipements par tunnel'!C:C, 'Equipements par tunnel'!A:A, ""Saint-Cloud"", 'Equipements par tunnel'!B:B, ""SURPRESSEUR ET VENTILATEUR LOCAL"")"
49,49,Ventilation,Saint-Cloud,VENPQB301,Maintenance préventive des équipements spécifiques,VPT301,1.0,0.0,1.0,14.0,128.27,1795.78,REGISTRE,"=SUMIFS('Equipements par tunnel'!C:C, 'Equipements par tunnel'!A:A, ""Saint-Cloud"", 'Equipements par tunnel'!B:B, ""REGISTRE"")"
50,50,Ventilation,Saint-Cloud,VENPQC302,Maintenance préventive des équipements spécifiques,VPT302,1.0,0.0,1.0,0.0,449.49,0.0,,0.0
51,51,Ventilation,Saint-Cloud,VENPQE304,Maintenance préventive des équipements spécifiques,VPT304,1.0,0.0,1.0,0.0,12.58,0.0,,0.0
52,52,Ventilation,Saint-Cloud,VENPQF305,Maintenance préventive des équipements spécifiques,VPT305,1.0,0.0,1.0,0.0,12.58,0.0,,0.0
53,53,Vidéo,Saint-Cloud,VIDDAI126,Maintenance préventive de la DAI du sens 1,VI MP 126,1.0,0.0,1.0,1.0,2506.23,2506.23,,1.0
54,54,Vidéo,Saint-Cloud,VIDDAI127,Maintenance préventive de la DAI du sens 2,VI MP 127,1.0,0.0,1.0,1.0,2506.23,2506.23,,1.0
55,55,Vidéo,Saint-Cloud,VIDCAM326,Nettoyage des caméras sens intérieur sens 1,VI MP 326,2.0,0.0,2.0,1.0,1696.19,3392.38,,1.0
