,tunnel,mar_diminutif,prdp_code,prod_groupe,ref_prix,form_typ,frq_totale,nb_equipe,coeff,cout_ht,cout_total
45,Neuilly,Ventilation,VENPQC302,Maintenance préventive des équipements spécifiques,VPT302,direct_reference,1.0,0.0,1.0,449.49,0.0
46,Neuilly,Ventilation,VENPQE304,Maintenance préventive des équipements spécifiques,VPT304,direct_reference,1.0,0.0,1.0,12.58,0.0
47,Neuilly,Ventilation,VENPQF305,Maintenance préventive des équipements spécifiques,VPT305,direct_reference,1.0,0.0,1.0,12.58,0.0
48,Neuilly,Vidéo,VIDDAI116,Maintenance préventive de la DAI du sens 1,VI MP 116,sum_2,1.0,1.0,1.0,1785.45,1785.45
49,Neuilly,Vidéo,VIDDAI117,Maintenance préventive de la DAI du sens 2,VI MP 117,sum_2,1.0,1.0,1.0,1785.45,1785.45
50,Neuilly,Vidéo,VIDCAM316,Nettoyage des caméras sens intérieur sens 1,VI MP 316,sum_2,2.0,1.0,1.0,1696.19,3392.38
51,Neuilly,Vidéo,VIDCAM317,Nettoyage des caméras sens intérieur sens 2,VI MP 317,sum_2,2.0,1.0,1.0,1696.19,3392.38
52,Neuilly,Vidéo,VIDPCI408,Maintenance préventive des caméras en issues de secours,VI MP 408,direct_reference,1.0,1.0,1.0,62.12,62.12
53,Neuilly,Pompage,,,,direct_value,1.0,1.0,1.0,0.0,0.0
54,Neuilly,Pompage,,,,direct_value,3.0,1.0,1.0,0.0,0.0
55,Neuilly,Pompage,POMEPO600,Entretien d'une pompe,POE600,direct_reference,1.0,0.0,1.0,572.06,0.0
56,Neuilly,Pompage,,,,direct_value,1.0,2.0,1.0,0.0,0.0
57,Neuilly,Pompage,POMERC500,Entretien autres systèmes du réseau incendie,INP500,direct_reference,1.0,0.0,1.0,858.61,0.0
58,Neuilly,Pompage,POMERD600,Entretien autres systèmes du réseau incendie,INP600,direct_reference,1.0,0.0,1.0,858.61,0.0
59,Neuilly,Pompage,POMERE700,Entretien autres systèmes du réseau incendie,INP700,direct_reference,1.0,0.0,1.0,214.65,0.0
60,Neuilly,Pompage,POMERF800,Entretien autres systèmes du réseau incendie,INP800,direct_reference,1.0,0.0,1.0,214.65,0.0
61,Neuilly,Pompage,POMERG900,Entretien autres systèmes du réseau incendie,INP900,direct_reference,1.0,0.0,1.0,208.4,0.0
62,Neuilly,Pompage,POMERG901,Entretien autres systèmes du réseau incendie,INP901,direct_reference,1.0,2.0,1.0,714.81,1429.62
63,Nanterre Centre,Bâtiment,BATCJN006,Contrôle des IS de jour,VJO006,sum_2,6.0,1.0,1.0,1014.0,6084.0
64,Nanterre Centre,Bâtiment,BATCJN007,Contrôle des IS de jour,VJO007,sum_2,6.0,1.0,1.0,1014.0,6084.0
65,Nanterre Centre,Bâtiment,BATCNO006,Contrôle des IS + niches de nuit,VNO006,sum_2,6.0,1.0,1.0,1958.0,11748.0
66,Nanterre Centre,Bâtiment,BATCNO007,Contrôle des IS + niches de nuit,VNO007,sum_2,6.0,1.0,1.0,1958.0,11748.0
67,Nanterre Centre,Bâtiment,BATMPO006,Préventif IS + niches,MPO006,sum_2,1.0,1.0,1.0,2111.0,2111.0
68,Nanterre Centre,Bâtiment,BATMPO007,Préventif IS + niches,MPO007,sum_2,1.0,1.0,1.0,2111.0,2111.0
